Site_ID,Sample_ID,Data_Source,Latitude_Degrees,Longitude_Degrees,Ocean_Name,Reef_ID,Realm_Name,Ecoregion_Name,Country_Name,State_Island_Province_Name,City_Town_Name,Site_Name,Distance_to_Shore,Exposure,Turbidity,Cyclone_Frequency,Date_Day,Date_Month,Date_Year,Depth_m,Substrate_Name,Percent_Cover,Bleaching_Level,Percent_Bleaching,ClimSST,Temperature_Kelvin,Temperature_Mean,Temperature_Minimum,Temperature_Maximum,Temperature_Kelvin_Standard_Deviation,Windspeed,SSTA,SSTA_Standard_Deviation,SSTA_Mean,SSTA_Minimum,SSTA_Maximum,SSTA_Frequency,SSTA_Frequency_Standard_Deviation,SSTA_FrequencyMax,SSTA_FrequencyMean,SSTA_DHW,SSTA_DHW_Standard_Deviation,SSTA_DHWMax,SSTA_DHWMean,TSA,TSA_Standard_Deviation,TSA_Minimum,TSA_Maximum,TSA_Mean,TSA_Frequency,TSA_Frequency_Standard_Deviation,TSA_FrequencyMax,TSA_FrequencyMean,TSA_DHW,TSA_DHW_Standard_Deviation,TSA_DHWMax,TSA_DHWMean,Date,Site_Comments,Sample_Comments,Bleaching_Comments,Reef_Regime
7139,10314232,Reef_Check,-2.6697,150.2541,Pacific,150.15.14.9E.2.40.10.8S,Central Indo-Pacific,Bismarck Sea New Guinea,Papua New Guinea,Bismarck Archipelago,New Hanover,nd,560.57,Sheltered,0.0398,52.33,28,8,2004,3.0,Nutrient Indicator Algae,0.0,0.0,0.0,302.43,302.31,302.55,299.83,306.19,0.85,8.0,0.21,0.81,0.0,-3,3.49,1,4.65,19,4,0,2.75,18.12,1.62,-0.56,0.85,-3.03,3.31,-0.31,0,3.19,15,2,0,2,17.53,0.9,8/28/2004,nd,nd,nd,Degraded
5733,10310465,Reef_Check,6.7012,116.3386,Pacific,116.20.313E.6.42.073N,Central Indo-Pacific,Sulu Sea,Malaysia,Sabah,Mantanani Islands,nd,1081.62,Sheltered,0.0844,53.85,20,7,2019,6.0,Nutrient Indicator Algae,0.0,0.0,2.0,302.85,302.38,301.97,296.64,306.2,1.72,3.0,-0.92,1.03,0.0,-3.7,3.31,8,5.98,25,8,2.51,3.64,22.68,2.86,-1.26,1.72,-7,2.55,-1.66,1,1.4,6,1,1.17,1.14,7.73,0.4,7/20/2019,nd,nd,nd,Degraded
13265,10275768,FRRP,25.1299,-80.2864,Atlantic,nd,Tropical Atlantic,Bahamas and Florida Keys,United States,Florida,Monroe County,nd,7658.0,Exposed,0.0577,57.05,26,9,2013,8.4,nd,0.0,0.0,16.15,299.74,302.01,299.79,293.95,304.83,2.35,4.0,0.09,0.86,0.0,-3.58,3.79,3,4.54,23,5,1.32,2.34,12.79,1.88,-1.03,2.35,-9.09,1.78,-3.24,0,0.97,4,0,0,0.66,5.21,0.18,9/26/2013,nd,No habitat at orig. coords (sand); moved to Fore Reef; low profile spur n groove habitat; lots of MAGs; Thermocline @ 20-foot depths; D. stellaris morphotype present,nd,Degraded
13438,10275945,FRRP,25.3478,-80.1564,Atlantic,nd,Tropical Atlantic,Bahamas and Florida Keys,United States,Florida,Miami-Dade County,nd,8257.0,Exposed,0.0818,57.28,9,10,2012,6.6,nd,0.0,0.0,10.26,299.46,301.89,299.84,294.41,304.92,2.26,5.0,0.37,0.82,0.0,-3.96,2.5,9,3.82,20,5,1.39,2.23,11.93,1.64,-1.07,2.26,-8.55,1.94,-3.12,1,0.89,3,0,1.38,0.62,5.05,0.18,10/9/2012,nd,nd,nd,Degraded
7485,10312518,Reef_Check,11.1879,123.8185,Pacific,123.49.6.6E.11.11.16.6N,Central Indo-Pacific,South-east Philippines,Philippines,Central Visayas,Cebu,nd,230.06,Sheltered,0.0871,54.82,2,8,2008,10.0,Hard Coral,18.12,0.0,0.0,302.2,303.41,301.42,296.91,305.48,1.45,6.0,1.1,0.96,0.0,-3.06,2.9,18,7,37,7,8.22,4.39,26.18,2.68,0.73,1.45,-5.76,2.79,-1.25,10,4.24,23,3,4.62,2.74,18.21,1.14,8/2/2008,nd,nd,nd,Degraded
1164,10323291,Donner,-23.0,151.0,Pacific,nd,Central Indo-Pacific,Southern Great Barrier Reef,Australia,Queensland,The Keppels,nd,8406.82,Exposed,0.0746,53.75,15,12,2007,0.0,nd,0.0,0.0,0.0,nd,nd,0.0,0.0,0.0,nd,0.0,nd,nd,0.0,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.0,nd,nd,nd,nd,nd,nd,nd,nd,12/15/2007,Average Hard coral: 35% Soft coral: 15% Bleached Hard coral: 0% Soft coral: 0%  Comments on affected species:  Long (>2 years) dead tabulate Acropora (25% of substrate) adjacent to heatly ones of same size. Other Comments: Excelent fish assemblages i,Average Hard coral: 35% Soft coral: 15% Bleached Hard coral: 0% Soft coral: 0%  Comments on affected species:  Long (>2 years) dead tabulate Acropora (25% of substrate) adjacent to heatly ones of same size. Other Comments: Excelent fish assemblages i,nd,Degraded
3624,10318650,Reef_Check,12.4878,-61.4906,Atlantic,61.29.26W.12.29.16N,Tropical Atlantic,Hispaniola Puerto Rico and Lesser Antilles,Grenada,Carriacou,nd,nd,130.56,Sheltered,0.0674,54.6,23,5,2018,10.5,Nutrient Indicator Algae,30.0,0.0,0.5,300.38,300.59,300.41,296.47,304.39,1.14,8.0,0.58,0.78,0.0,-3.17,2.86,9,5,28,4,1.06,2.62,19.13,1.47,-1.29,1.14,-5.4,2.5,-1.46,3,1.77,9,1,0,1.27,12.3,0.4,5/23/2018,nd,nd,nd,Transitional
5567,10310850,Reef_Check,4.1125,118.2251,Pacific,118.13.504E.4.6.751N,Central Indo-Pacific,Sulu Sea,Malaysia,Sabah,Gosong Darby,nd,20111.46,Sheltered,0.0803,54.24,21,4,2015,12.0,Nutrient Indicator Algae,1.25,0.0,15.0,302.72,303.13,302.13,298.07,305.13,0.96,2.0,0.5,0.83,0.0,-3.59,3.07,9,4.17,20,5,1.2,2.22,12.18,1.73,0.33,0.96,-4.73,2.32,-0.66,4,1.6,6,1,0,1.04,6.62,0.47,4/21/2015,nd,nd,nd,Degraded
999512,10330361,AGRRA,21.657,-79.9281,Atlantic,nd,Tropical Atlantic,Cuba and Cayman Islands,Cuba,Sancti Spiritus,Bahia de Casilda,Arrecifes Mulatas Este (cresta),4266.9,Exposed,0.0684,59.47,28,8,2001,1.9,nd,0.0,0.0,1.67,302.97,303.19,301.11,297.2,305.1,1.63,5.0,-0.01,0.68,0.0,-3.96,2.28,2,3.27,19,3,2.33,1.8,12.28,1.03,-0.02,1.63,-6,1.88,-2.09,0,0.96,3,0,0,0.65,4.1,0.19,8/28/2001,nd,nd,nd,Degraded
6807,10315396,Reef_Check,-20.5553,164.1832,Pacific,164.10.59.6E.20.33.19S,Central Indo-Pacific,New Caledonia,New Caledonia,North Province,Koumac,nd,68.17,Sheltered,0.0,59.51,21,1,2014,4.5,Nutrient Indicator Algae,24.38,0.0,0.0,300.79,299.67,298.36,294.29,305.38,1.96,7.0,-0.91,0.85,0.0,-3.8,4.6,1,5.81,28,6,0,3.23,19.48,2.12,-1.19,1.96,-6.57,4.5,-2.5,0,1.82,6,1,0,1.67,13.67,0.57,1/21/2014,nd,nd,nd,Degraded
2582,10324423,Donner,20.8337,-78.9911,Atlantic,nd,Tropical Atlantic,Cuba and Cayman Islands,Cuba,Ciego de Avila,Cayos de las Doce Leguas,nd,1007.53,Exposed,0.1354,56.49,15,8,2001,1.1,nd,0.0,0.0,0.0,303.34,302.86,301.24,296.1,305.86,1.73,6.0,-0.58,1,0.0,-3.79,2.69,2,3.92,25,4,1.09,2.2,13.33,1.53,-0.61,1.73,-7.36,2.38,-2.22,0,1.51,6,1,0,1.14,8.27,0.41,8/15/2001,nd,nd,nd,Degraded
9739,10309302,Reef_Check,12.2789,109.4939,Pacific,109.29.38E.12.16.44N,Central Indo-Pacific,South Vietnam,Vietnam,Khanh Hoa Province,Nha Trang,nd,13366.64,Exposed,0.0631,49.63,8,5,2005,3.0,Nutrient Indicator Algae,0.0,0.0,0.0,301.67,299.83,300.07,294.14,305.29,2.06,4.0,-1.67,1.11,0.0,-4.5,4.18,6,6.63,35,9,0,4.24,23.53,3.42,-1.88,2.06,-7.56,3.57,-1.63,3,3.63,22,3,0,2.71,21.84,1.45,5/8/2005,nd,nd,nd,Degraded
2115,10309814,Reef_Check,22.3521,114.3496,Pacific,114.20.58.6E.22.21.7.5N,Central Indo-Pacific,Hong Kong,China,Hong Kong,Sai Kung District,nd,17.3,Sheltered,0.25,52.89,7,9,2011,2.5,Hard Coral,35.62,0.0,0.0,262.15,302.04,296.84,284.85,305.28,4.2,4.0,0.67,1.32,0.0,-5.96,5.54,8.67,5.84,26.5,10.5,1.42,5.16,33.28,4.44,0.16,4.2,-17.02,3.39,-5.03,1.5,1.9,7.83,1,0.83,1.66,14.26,0.52,9/7/2011,nd,nd,nd,Transitional
2935,10316790,Reef_Check,27.9467,34.385,Red Sea,27N34E14,Western Indo-Pacific,North and central Red Sea,Egypt,South Sinai Governorate,Sharm El-Sheikh,nd,13.22,Sheltered,0.0,47.9,25,6,1997,3.0,Hard Coral,51.25,0.0,0.0,300.64,301.04,298.25,292.91,304.31,2.39,6.0,1.31,1.06,0.0,-4.21,4.68,5,6.64,38,7,2.59,4.02,25.13,2.87,-0.19,2.39,-8.31,3.07,-2.97,1,2.16,8,2,0,1.89,10.81,0.72,6/25/1997,nd,nd,nd,Healthy_Coral
6934,10313401,Reef_Check,7.2585,134.5243,Pacific,134.31.46E.7.15.51N,Central Indo-Pacific,Palau,Palau,Koror,Uchelbeluu Reef,nd,5795.15,Exposed,0.0634,58.2,30,8,2001,3.0,Fleshy Seaweed,0.0,0.0,0.0,302.08,301.58,301.84,298.54,305.1,0.94,4.0,-0.31,0.84,0.0,-3.27,2.95,14,4.8,28,5,8.23,2.7,17.88,1.83,-0.78,0.94,-3.81,2.74,-0.51,10,2.67,15,2,6.8,1.54,8.94,0.76,8/30/2001,nd,nd,nd,Degraded
4118,10311570,Reef_Check,-0.7477,119.8559,Pacific,119.51.21.1E.0.44.51.8S,Central Indo-Pacific,Makassar Strait Indonesia,Indonesia,Central Sulawesi,Palu,nd,107.52,Sheltered,0.0508,52.85,28,9,2002,10.0,Fleshy Seaweed,12.5,0.0,0.0,262.15,301.95,302.28,298.9,304.7,0.84,2.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,9/28/2002,nd,nd,nd,Degraded
9576,10308849,Reef_Check,8.6556,106.6078,Pacific,106.60785E.08.65544N,Central Indo-Pacific,South Vietnam,Vietnam,Vungtau-Baria,Con Dao,nd,180.77,Sheltered,0.0608,49.09,19,6,2002,8.0,Fleshy Seaweed,1.25,0.0,0.0,301.84,302.63,300.8,296.14,305.61,1.83,4.0,0.24,0.9,0.0,-3.17,3.43,1,6.63,35,6,0,3.74,26.23,2.37,-0.17,1.83,-6.65,2.8,-1.99,0,1.77,8,1,0,1.23,11.26,0.4,6/19/2002,nd,nd,nd,Degraded
4423,10320247,Reef_Check,18.3609,-78.3433,Atlantic,78.20.596W.18.21.653N,Tropical Atlantic,Jamaica,Jamaica,Hanover Parish,Orange Bay,nd,119.06,Exposed,0.0271,60.35,20,10,2007,10.0,Hard Coral,22.5,0.0,3.0,301.52,302.25,301.37,298.35,305.01,1.16,5.0,-0.2,0.68,0.0,-3.31,2.45,3,3.55,18,3,0,1.96,12.92,1.03,-0.59,1.16,-4.5,2.15,-1.47,0,1.34,6,0,0,1,6.45,0.28,10/20/2007,nd,nd,nd,Degraded
5888,10308426,Reef_Check,2.8746,104.1864,Pacific,104.11.11.18E.2.52.28.6N,Central Indo-Pacific,Sunda Shelf south-east Asia,Malaysia,Pahang,Tioman Island,nd,62.62,Exposed,0.0524,49.59,8,4,2012,4.0,Nutrient Indicator Algae,0.62,0.0,0.0,303.15,304.13,301.71,297.37,305.48,1.3,1.0,1.62,0.93,0.0,-3.78,3.58,3,6.92,35,6,5.23,4.04,32.69,2.48,0.96,1.3,-5.79,2.3,-1.45,0,1.7,11,1,0,1.13,9.65,0.36,4/8/2012,nd,nd,nd,Degraded
3887,10310130,Reef_Check,-8.3353,115.6508,Pacific,115.39.2.66E.8.20.7.16S,Central Indo-Pacific,Lesser Sunda Islands and Savu Sea,Indonesia,Bali,Karangasem Regency,nd,279.52,Sheltered,0.0,47.73,24,7,2003,3.0,Hard Coral,27.5,0.0,0.0,262.15,300.01,301.89,297.98,305.04,1.12,6.0,-0.64,0.87,0.0,-2.96,2.95,1.67,5.97,27.67,5.33,0,3.45,22.21,2.01,-2.83,1.12,-4.85,2.2,-0.94,0.67,2.16,11,1,0,1.46,12.48,0.56,7/24/2003,nd,nd,nd,Degraded
9664,10308941,Reef_Check,15.96,108.4895,Pacific,108.29372E.15.576N,Central Indo-Pacific,North Vietnam,Vietnam,Quang Nam,Cham Islands,nd,114.13,Sheltered,0.0,58.06,8,9,2002,6.5,Fleshy Seaweed,0.0,0.0,0.0,301.42,302.29,299.47,293.1,305.39,2.69,3.0,-0.02,1.07,0.0,-3.77,3.65,9,6.24,30,9,4.66,3.91,20.45,3.36,-0.38,2.69,-9.56,2.72,-3.19,3,1.71,7,1,4.05,1.33,8.75,0.53,9/8/2002,nd,nd,nd,Degraded
1742,10317490,Reef_Check,-8.7588,-35.0852,Atlantic,35.5.6.9W.8.45.31.6S,Tropical Atlantic,Brazil,Brazil,Pernambuco,Tamandare,nd,919.65,Exposed,0.1062,49.76,19,3,2004,4.0,Hard Coral,6.88,0.0,10.0,262.15,301.34,300.44,296.4,305.78,1.17,5.0,-0.58,0.68,0.0,-3.08,4.41,0,3.54,17,2.25,0,1.83,10.76,0.99,-0.6,1.17,-5.53,3.83,-1.48,0,1.19,5.75,0,0,0.92,7.19,0.25,3/19/2004,nd,nd,nd,Degraded
5531,10308675,Reef_Check,2.3132,104.1258,Pacific,104.7.55E.2.18.79N,Central Indo-Pacific,Sunda Shelf south-east Asia,Malaysia,Johor,Mersing,nd,33.85,Sheltered,0.0799,48.95,28,7,2015,5.0,Nutrient Indicator Algae,10.62,0.0,0.0,301.97,302.67,301.75,298.05,305.5,1.19,2.0,1.01,0.86,0.0,-3.43,2.66,4,5.63,30,6,0,3.12,17.23,2.05,-0.34,1.19,-4.96,2.49,-1.25,1,1.72,8,1,0,1.14,10.87,0.34,7/28/2015,nd,nd,nd,Degraded
9431,10318990,Reef_Check,18.2805,-64.897,Atlantic,64.53.82W.18.16.83N,Tropical Atlantic,Hispaniola Puerto Rico and Lesser Antilles,United States,US Virgin Islands,St Thomas,nd,365.19,Sheltered,0.0348,65.66,4,2,2006,10.0,Nutrient Indicator Algae,34.38,0.0,1.25,299.06,298.83,300.38,296.8,304.35,1.21,6.0,-0.06,0.72,0.0,-2.96,2.55,21,4.61,22,3,0,2.29,16.67,1.12,-3.05,1.21,-5.07,2.47,-1.48,7,1.3,7,0,0,0.86,9.71,0.21,2/4/2006,nd,nd,nd,Transitional
334,10322256,Donner,-15.8758,145.7943,Pacific,nd,Central Indo-Pacific,Central and northern Great Barrier Reef,Australia,Queensland,Great Barrier Reef Marine Park,nd,39672.71,Sheltered,0.0672,48.49,15,3,2002,0.0,nd,0.0,0.0,5.5,300.37,301.8,299.59,295.45,305.16,1.97,8.0,0.41,1,0.0,-3.25,4.59,6,5.63,29,5,2.03,3.18,16.89,1.97,-0.29,1.97,-6.64,3.05,-2.5,1,1.75,7,1,1.01,1.56,10.14,0.53,3/15/2002,nd,nd,Bleaching percentage averaged from code: Mild (1-10% Bleached),Degraded
6414,10325894,Donner,19.8805,-87.412,Atlantic,nd,Tropical Atlantic,Belize and west Caribbean,Mexico,Quintana Roo,Zamach,nd,1968.59,Exposed,0.0401,47.04,15,8,2005,19.05,nd,0.0,0.0,38.46,302.32,302.48,300.83,297.14,304.79,1.27,3.0,0.16,1,0.0,-3.36,3.57,2,3.41,17,3,2.17,1.69,10.38,0.99,0.09,1.27,-5.25,2.39,-1.55,0,1.07,5,0,0,0.73,5.98,0.2,8/15/2005,Number of colonies observed: 7 ; Number of bleached colonies: 1,Number of colonies observed: 7 ; Number of bleached colonies: 1,nd,Degraded
999873,10331031,AGRRA,24.986,-80.4151,Atlantic,nd,Tropical Atlantic,Bahamas and Florida Keys,United States,Florida,Monroe County,Pickles Reef palmata,7846.17,Exposed,0.0627,62.54,23,5,2003,3.5,nd,0.0,0.0,0.52,301.87,301.12,299.85,293.73,305.16,2.37,3.0,0.65,0.89,0.0,-3.76,4.02,9,4.66,22,6,11.2,2.64,13.35,2.13,-1.9,2.37,-9.28,2.13,-3.15,1,1.22,5,0,0,0.77,5.73,0.22,5/23/2003,nd,nd,nd,Degraded
999711,10329014,AGRRA,18.9022,-87.6233,Atlantic,nd,Tropical Atlantic,Belize and west Caribbean,Mexico,Quintana Roo,Othon P. Blanco,El Placer Centro,862.35,Exposed,0.0275,46.38,23,9,1999,12.1,nd,0.0,0.0,0.77,262.15,302.59,300.87,297.46,304.72,1.22,4.0,0.46,0.72,0.0,-3.47,3.64,7,3.08,17,3,6.03,1.8,9.57,1.11,0.32,1.22,-4.81,2.44,-1.39,4,1.23,5.33,0.67,5.56,1,7.52,0.35,9/23/1999,nd,nd,nd,Degraded
6919,10318282,Reef_Check,26.3655,56.452,Arabian Gulf,56.27.7.3E.26.21.55.7N,Western Indo-Pacific,Gulf of Oman,Oman,Musandam Governorate,Kumzar,nd,87.92,Sheltered,0.1108,46.33,13,10,2010,4.0,Hard Coral,41.25,0.0,0.0,299.79,303.94,300.25,292.61,308.2,3.43,4.0,1.91,1.05,0.0,-3.76,4.02,12,5.73,25,7,1.44,3.77,23.84,2.87,-0.53,3.43,-11.85,3.73,-4.21,0,1.95,9,1,0,1.89,20.01,0.54,10/13/2010,nd,nd,nd,Transitional
3582,10314445,Reef_Check,-16.5353,-151.7284,Pacific,151.43.706W.16.32.117S,Eastern Indo-Pacific,Society Islands French Polynesia,French Polynesia,Society Islands,Bora Bora,nd,365.35,Sheltered,0.0261,52.33,15,9,2008,1.2,Nutrient Indicator Algae,6.25,0.0,0.0,300.18,299.04,300.83,297.58,304.14,1.08,6.0,-0.64,0.71,0.0,-3.3,2.38,3,3.27,14,3,0,1.9,12.59,1.21,-2.9,1.08,-4.36,2.2,-1.1,0,1.62,9,1,0,1.06,9.95,0.35,9/15/2008,nd,nd,nd,Degraded
1751,10317420,Reef_Check,-5.3919,-35.2528,Atlantic,35.15.10.01W.5.23.30.66S,Tropical Atlantic,Brazil,Brazil,Rio Grande do Norte,Maracajau,nd,5935.3,Exposed,0.1829,49.45,2,4,2007,3.0,Nutrient Indicator Algae,15.62,0.0,0.5,301.49,301.83,300.62,296.43,304.91,1.17,6.0,-0.12,0.66,0.0,-2.95,2.97,7,2.73,12,2,1.11,1.49,11.4,0.69,-0.13,1.17,-5.52,2.95,-1.33,2,1.32,7,0,0,0.99,6.66,0.26,4/2/2007,nd,nd,nd,Degraded
6708,10313340,Reef_Check,12.2667,-68.4222,Atlantic,12N68W1,Tropical Atlantic,Netherlands Antilles and south Caribbean,Netherlands Antilles,ABC Islands,Bonaire,nd,600.83,Sheltered,0.0,44.93,17,8,1997,3.0,Fleshy Seaweed,0.62,0.0,0.0,301.33,299.45,300.17,296.79,303.14,1.16,7.0,-1.41,0.75,0.0,-3.08,2.24,0,4.42,19,3,0,2.13,11.47,1.23,-2.2,1.16,-4.85,1.49,-1.47,0,1.06,4,0,0,0.71,5.06,0.24,8/17/1997,nd,nd,nd,Degraded
3886,10310413,Reef_Check,-8.3376,116.0376,Pacific,116.2.15.5E.8.20.15.5S,Central Indo-Pacific,Lesser Sunda Islands and Savu Sea,Indonesia,West Nusa Tenggara,North Lombok Regency,nd,158.91,Sheltered,0.0442,47.39,27,6,2016,4.0,Hard Coral,36.25,0.0,75.0,300.44,302.79,301.6,297.57,305.47,1.12,4.0,1.46,0.94,0.0,-3.28,3.52,18,5.27,30,6,7.99,3.48,21.05,2.5,0.2,1.12,-5.01,2.87,-0.98,8,1.78,8,2,4.72,1.32,8.06,0.67,6/27/2016,nd,nd,nd,Transitional
7587,10312039,Reef_Check,11.9807,121.9028,Pacific,121.54.10.1E.11.58.50.5N,Central Indo-Pacific,South-east Philippines,Philippines,Western Visayas,Aklan,nd,470.11,Sheltered,0.0628,56.6,26,2,2016,6.4,Hard Coral,45.62,0.0,0.0,301.36,300.6,301.25,297.45,305.2,1.39,7.0,1.04,0.86,0.0,-3.03,2.83,15,5.56,25,6,8.18,3.37,22.59,2.2,-2.13,1.39,-5.28,2.46,-1.48,4,1.87,8,1,0,1.46,12.81,0.47,2/26/2016,nd,nd,nd,Transitional
9623,10309199,Reef_Check,11.677,109.1833,Pacific,109.18265E.11.67699N,Central Indo-Pacific,South Vietnam,Vietnam,Ninh Thuan Province,Vinh Hai,nd,101.93,Exposed,0.0,50.05,26,7,2008,3.0,Nutrient Indicator Algae,0.0,0.0,0.0,262.15,302.02,299.61,294.84,304.85,1.86,6.0,1.99,1.16,0.0,-4.06,4.09,6.33,6.74,34.33,9,1.49,4.76,34.26,3.69,0.86,1.86,-6.31,3.69,-1.54,3.33,3.86,21,3.33,0.35,3.05,25.06,1.52,7/26/2008,nd,nd,nd,Degraded
999788,10330972,AGRRA,24.9399,-80.477,Atlantic,nd,Tropical Atlantic,Bahamas and Florida Keys,United States,Florida,Monroe County,Little Conch Reef,6689.21,Exposed,0.0804,62.54,22,5,2003,9.6,nd,0.0,0.0,2.06,301.88,301.73,299.84,293.75,305.45,2.41,3.0,1.3,0.9,0.0,-3.87,3.92,7,4.72,23,6,9.83,2.73,18.07,2.14,-1.36,2.41,-9.34,2.35,-3.24,0,1.76,10,0,0,1.21,14.66,0.29,5/22/2003,nd,nd,nd,Degraded
8554,10327772,Donner,17.774,-64.814,Atlantic,nd,Tropical Atlantic,Hispaniola Puerto Rico and Lesser Antilles,United States,US Virgin Islands,St. Croix,Cane Bay,296.21,Exposed,0.0352,69.08,15,10,2005,12.0,nd,0.0,0.0,93.8,262.15,302.7,300.44,296.56,304.64,1.19,6.0,0.8,1,0.0,-3.01,3.38,14.5,4.37,23.5,3,12.24,2.24,15.27,1.15,0.78,1.19,-5.36,2.7,-1.47,5.75,1.46,7,0,7.91,0.98,9.6,0.24,10/15/2005,nd,nd,nd,Degraded
7644,10311799,Reef_Check,13.8034,120.9116,Pacific,120.54.41.8E.13.48.12.2N,Central Indo-Pacific,North Philippines,Philippines,Calabarzon,Batangas,nd,62.09,Sheltered,0.0658,52.23,14,5,2014,5.0,Hard Coral,70.0,0.0,0.0,262.15,302.7,300.99,296.5,305.78,1.46,4.0,0.58,0.82,0.0,-3.72,3.84,15,5.47,27.25,4.75,0.46,3.37,22.95,1.87,0.19,1.46,-6,3.26,-1.51,10.5,2.83,12.75,1,0,1.97,20.1,0.57,5/14/2014,nd,nd,nd,Healthy_Coral
4118,10311564,Reef_Check,-0.7477,119.8559,Pacific,119.51.21.1E.0.44.51.8S,Central Indo-Pacific,Makassar Strait Indonesia,Indonesia,Central Sulawesi,Palu,nd,107.52,Sheltered,0.0508,52.85,28,9,2002,3.0,Hard Coral,4.38,0.0,0.0,262.15,301.95,302.28,298.9,304.7,0.84,2.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,9/28/2002,nd,nd,nd,Degraded
140,10314215,Reef_Check,-14.917,145.6897,Pacific,14S145E3,Central Indo-Pacific,Central and northern Great Barrier Reef,Australia,Queensland,Great Barrier Reef Marine Park,nd,36575.44,Sheltered,0.0949,48.77,14,3,2004,5.0,Nutrient Indicator Algae,3.12,0.0,0.0,300.3,302.08,299.55,294.89,305.58,1.87,6.0,0.8,0.86,0.0,-3.5,4.28,1,6.11,29,6,1.25,3.26,16.11,2.12,0.16,1.87,-7.02,3.65,-2.35,1,1.33,5,1,1.06,1.21,7.71,0.48,3/14/2004,nd,nd,nd,Degraded
3399,10317810,Reef_Check,-12.8941,45.2128,Indian,45.12.46E.12.53.38.9S,Western Indo-Pacific,Mayotte and Comoros,France,Mayotte,Bandrele,nd,346.62,Sheltered,0.0788,39.49,11,1,2012,3.0,Nutrient Indicator Algae,0.0,0.0,0.0,302.32,301.35,300.67,296.33,304.29,1.56,7.0,-0.54,0.71,0.0,-3.17,2.47,5,3.67,17,3,4.62,2.07,12.86,1.24,-1.06,1.56,-6.07,1.87,-1.73,0,1.87,9,1,0,1.14,9.61,0.43,1/11/2012,nd,nd,nd,Degraded
6786,10315716,Reef_Check,-21.5563,166.3375,Pacific,166.20.248E.21.33.38S,Central Indo-Pacific,New Caledonia,New Caledonia,South Province,Thio,nd,9383.41,Sheltered,0.0542,50.05,3,5,2014,7.0,Nutrient Indicator Algae,1.88,0.0,0.0,297.62,299.95,298.61,294.87,303.94,1.74,4.0,0.76,0.8,0.0,-3.56,3.24,2,4.95,26,4,0,2.98,22.34,1.67,-0.86,1.74,-5.94,3.12,-2.19,1,1.54,6,1,0,1.37,11.48,0.43,5/3/2014,nd,nd,nd,Degraded
61,10313962,Reef_Check,-19.1542,146.8658,Pacific,146.51.380E.19.09.160S,Central Indo-Pacific,Central and northern Great Barrier Reef,Australia,Queensland,Magnetic Island,nd,326.99,Sheltered,0.1942,43.39,6,7,2009,3.0,Hard Coral,32.5,0.0,0.0,295.19,296.25,299.07,292.2,305.77,2.87,4.0,1.17,0.96,0.0,-3.33,3.34,9,5.36,29,7,3.43,3.26,19.93,2.71,-6.24,2.87,-10.28,3.27,-3.4,5,1.48,7,1,0,1.45,10.49,0.59,7/6/2009,nd,nd,nd,Transitional
12849,10275338,FRRP,24.6956,-81.0518,Atlantic,nd,Tropical Atlantic,Bahamas and Florida Keys,United States,Florida,Monroe County,nd,2419.0,Sheltered,0.1541,62.84,28,9,2016,3.3,nd,0.0,0.0,0.0,299.06,302.72,299.75,291.64,305.67,2.61,6.0,1.05,1.04,0.0,-5.4,3.77,21,4.36,23,8,6.95,2.93,18.27,2.84,-0.51,2.61,-11.59,2.44,-3.47,2,1.05,5,0,2.32,0.82,5.42,0.32,9/28/2016,nd,nd,nd,Degraded
6705,10319047,Reef_Check,12.2195,-68.3596,Atlantic,68.21.34.4W.12.13.10.1N,Tropical Atlantic,Netherlands Antilles and south Caribbean,Netherlands Antilles,ABC Islands,Bonaire,nd,82.73,Sheltered,0.0364,49.76,7,9,2002,10.0,Hard Coral,40.62,0.0,0.0,262.15,301.81,300.12,296.75,303.5,1.18,7.0,0.53,0.78,0.0,-2.91,2.41,1.4,5.06,22.6,4.2,0,2.46,15.57,1.42,0.18,1.18,-4.88,1.86,-1.49,0,1.27,5.8,0.2,0,0.85,7.22,0.26,9/7/2002,nd,nd,nd,Transitional
6536,10326989,Donner,20.874,-86.851,Atlantic,nd,Tropical Atlantic,Belize and west Caribbean,Mexico,Quintana Roo,Puerto Morelos,PM Bo B 2,1493.22,Exposed,0.0349,54.63,15,9,2005,5.0,nd,0.0,0.0,7.4,262.15,303.07,300.78,297.31,304.12,1.2,7.0,0.94,1,0.0,-3.18,2.37,4.75,2.87,16.25,2,6.1,1.36,9.3,0.66,0.91,1.2,-4.84,1.96,-1.37,4,1.16,6.25,0,5.18,0.74,6.02,0.2,9/15/2005,nd,nd,nd,Degraded
