Site_ID,Sample_ID,Data_Source,Latitude_Degrees,Longitude_Degrees,Ocean_Name,Reef_ID,Realm_Name,Ecoregion_Name,Country_Name,State_Island_Province_Name,City_Town_Name,Site_Name,Distance_to_Shore,Exposure,Turbidity,Cyclone_Frequency,Date_Day,Date_Month,Date_Year,Depth_m,Substrate_Name,Percent_Cover,Bleaching_Level,Percent_Bleaching,ClimSST,Temperature_Kelvin,Temperature_Mean,Temperature_Minimum,Temperature_Maximum,Temperature_Kelvin_Standard_Deviation,Windspeed,SSTA,SSTA_Standard_Deviation,SSTA_Mean,SSTA_Minimum,SSTA_Maximum,SSTA_Frequency,SSTA_Frequency_Standard_Deviation,SSTA_FrequencyMax,SSTA_FrequencyMean,SSTA_DHW,SSTA_DHW_Standard_Deviation,SSTA_DHWMax,SSTA_DHWMean,TSA,TSA_Standard_Deviation,TSA_Minimum,TSA_Maximum,TSA_Mean,TSA_Frequency,TSA_Frequency_Standard_Deviation,TSA_FrequencyMax,TSA_FrequencyMean,TSA_DHW,TSA_DHW_Standard_Deviation,TSA_DHWMax,TSA_DHWMean,Date,Site_Comments,Sample_Comments,Bleaching_Comments,Reef_Regime
2086,10309818,Reef_Check,22.3535,114.3476,Pacific,114.20.857E.22.21.209N,Central Indo-Pacific,Hong Kong,China,Hong Kong,Sai Kung District,nd,29.64,Sheltered,0.0,52.89,8,9,2002,5.0,Hard Coral,41.25,0.0,0.0,262.15,301.92,296.84,284.85,305.28,4.2,6.0,0.45,1.32,0.0,-5.96,5.54,9.67,5.84,26.5,10.5,0.34,5.16,33.28,4.44,0.04,4.2,-17.02,3.39,-5.03,0,1.9,7.83,1,0,1.66,14.26,0.52,9/8/2002,nd,nd,nd,Transitional
1386,10321754,Reef_Check,13.063,-59.56,Atlantic,NSMaxwell,Tropical Atlantic,Hispaniola Puerto Rico and Lesser Antilles,Barbados,Christ Church,Oistins,nd,219.52,Sheltered,0.0,48.86,31,8,2002,3.5,Hard Coral,28.33,0.0,0.0,301.84,301.39,300.42,297.01,304.44,1.12,5.0,0,0.77,0.0,-3.4,2.72,4,6.08,29,4,0,2.86,19.02,1.43,-0.49,1.12,-4.86,2.55,-1.45,0,1.49,7,0,0,1,9.78,0.26,8/31/2002,nd,nd,nd,Degraded
4109,10312844,Reef_Check,-1.3931,124.5339,Pacific,124.32.02E.1.23.35S,Central Indo-Pacific,Banda Sea and Molucca Islands,Indonesia,North Maluku,Taliabu Island Regency,nd,21500.51,Exposed,0.0,52.86,12,12,2001,10.0,Fleshy Seaweed,11.25,0.0,0.0,302.03,301.93,301.96,298.07,305.35,1.05,2.0,-0.52,0.89,0.0,-3.26,3.29,1,6.4,38,6,0,3.12,17.31,2.07,-0.76,1.05,-4.61,2.65,-0.72,0,2.49,14,1,0,1.6,11.3,0.64,12/12/2001,nd,nd,nd,Degraded
6800,10315815,Reef_Check,-20.7879,167.1218,Pacific,167.07.307E.20.47.273S,Central Indo-Pacific,New Caledonia,New Caledonia,Loyalty Islands,Lifou Island,nd,32.35,Sheltered,0.0305,51.28,14,4,2015,1.3,Hard Coral,33.75,0.0,0.0,298.33,299.45,298.6,295.15,303.38,1.64,9.0,-0.38,0.78,0.0,-4.54,3.16,2,3.99,21,4,2.51,2.59,18.24,1.55,-1.24,1.64,-5.53,2.69,-2.08,1,1.49,7,1,1.29,1.09,6.73,0.35,4/14/2015,nd,nd,nd,Transitional
7027,10327232,Donner,9.287,-82.1028,Atlantic,nd,Tropical Atlantic,Belize and west Caribbean,Panama,Bocas del Toro,Bastimentos Island,nd,419.48,Sheltered,0.1399,49.38,15,6,2002,1.7,nd,0.0,0.0,0.0,301.72,301.31,301.46,298.04,305.92,1.15,1.0,-0.51,1,0.0,-3.6,3.8,2,5.78,21,8,0,3.85,19.88,2.93,-0.81,1.15,-4.07,3.79,-0.64,0,4.43,18,4,0,3.09,17.61,1.64,6/15/2002,nd,nd,nd,Degraded
5470,10317761,Reef_Check,-23.6728,43.615,Indian,43.36.903E.23.40.365S,Western Indo-Pacific,South Madagascar,Madagascar,Toliara Province,Anakao,nd,2127.99,Sheltered,0.0,37.38,30,10,2001,4.0,Hard Coral,11.88,0.0,0.0,299.72,298.58,299.35,294.53,305.07,2.1,6.0,0.03,0.95,0.0,-4.04,3.14,7,4.31,19,6,0,2.92,15.72,2.38,-3.61,2.1,-7.65,2.87,-2.83,4,1.95,9,2,0,1.72,11.04,0.69,10/30/2001,nd,nd,nd,Degraded
1318,10320332,Reef_Check,25.6626,-79.3077,Atlantic,79.18.460W.25.39.757N,Tropical Atlantic,Bahamas and Florida Keys,Bahamas,Bimini,Alice Town,nd,3232.77,Sheltered,0.1075,54.98,12,8,2012,5.0,Hard Coral,18.75,0.0,0.0,302.06,304.01,300.14,293.79,306.26,2.04,3.0,1.13,0.93,0.0,-4.55,5.09,2,4.17,21,5,0,2.42,14.51,1.8,1.13,2.04,-9.09,3.37,-2.73,0,0.87,3,0,0,0.78,5.79,0.25,8/12/2012,nd,nd,nd,Degraded
7723,10318547,Reef_Check,13.8583,-61.0667,Atlantic,61.04W.13.51.5N,Tropical Atlantic,Hispaniola Puerto Rico and Lesser Antilles,Saint Lucia,Soufriere,Mamin,nd,55.66,Sheltered,0.0379,53.18,21,10,2009,10.0,Nutrient Indicator Algae,10.0,0.0,0.0,262.15,302.52,300.64,297.27,304.01,1.08,7.0,0.55,0.71,0.0,-3.25,2.41,1.67,4.64,24.67,2.67,0.71,2.42,17.46,1.01,0.46,1.08,-4.78,1.95,-1.41,0.33,1.27,5.67,0,0.37,0.84,7.02,0.24,10/21/2009,nd,nd,nd,Degraded
9578,10308839,Reef_Check,8.6669,106.5632,Pacific,106.56.326E.08.66.687N,Central Indo-Pacific,South Vietnam,Vietnam,Vungtau-Baria,Con Dao,nd,290.49,Sheltered,0.0,49.29,9,9,2001,9.0,Hard Coral,11.25,0.0,0.0,301.83,300.96,300.83,296.14,306.17,1.83,2.0,-0.84,0.92,0.0,-3.36,3.69,1,6.33,31,6,0,3.93,27.69,2.38,-1.82,1.83,-6.63,3.38,-1.94,0,2.29,13,1,0,1.78,20.11,0.49,9/9/2001,nd,nd,nd,Degraded
1239,10320321,Reef_Check,25.7365,-79.3029,Atlantic,79.18.172W.25.44.191N,Tropical Atlantic,Bahamas and Florida Keys,Bahamas,Bimini,North Bimini,nd,902.89,Sheltered,0.0,52.45,19,6,2002,10.0,Hard Coral,46.88,0.0,0.0,302.67,301.95,300.05,293.47,305.52,2.07,5.0,0.12,0.97,0.0,-4.44,3.51,9,4.84,23,6,10.25,2.67,15.17,2.08,-0.88,2.07,-9.35,2.69,-2.77,1,0.93,4,0,0,0.76,6.77,0.25,6/19/2002,nd,nd,nd,Transitional
